algorithm,dimensionality,p20_FE1200,p40_FE5000,p100_FE10000
MERLIN,D10,2.44,2.81,2.81
MERLIN,D30,2.38,2.56,1.81
CMA-ES,D10,3.69,2.81,2.56
CMA-ES,D30,5.62,3.19,2.94
PSO,D10,5.25,5.44,4.69
PSO,D30,5.25,6.25,7.12
RAPTOR,D10,4.75,6.44,5.31
RAPTOR,D30,3.38,5.25,5.38
L-SHADE-RSP,D10,4.25,4.69,5.69
L-SHADE-RSP,D30,6.38,6.0,4.75
HHO,D10,5.5,7.0,6.12
HHO,D30,2.0,3.25,3.88
L-SHADE-SW,D10,6.0,5.94,6.06
L-SHADE-SW,D30,5.0,6.0,5.5
jEDE,D10,7.62,4.69,4.94
jEDE,D30,8.62,7.0,8.38
L-SHADE,D10,6.5,6.06,7.69
L-SHADE,D30,7.5,6.5,6.5
PFO,D10,9.0,9.12,9.12
PFO,D30,8.88,9.0,8.75
