solver,family,HV_pop20,HV_pop40,HV_pop100
GDE3,SilverHawk,35032,31030,27066
TALON,SilverHawk,34945,31226,27428
EAGLE,SilverHawk,34640,30420,27122
NSGA-II,SilverHawk,34476,29127,25216
MOPSO,SilverHawk,33904,30130,26732
MOEA_D,SilverHawk,33782,24983,21624
STRIKE-MO-AS,SilverHawk,33728,30355,27007
OSPREY,SilverHawk,33623,30979,27301
RBFMOpt,Opossum,33056,29101,25703
NSGA_II,Opossum,32832,28285,25963
WallaceiX,WallaceiX,32185,28310,26516
NSGA-III,SilverHawk,31868,25103,24792
MOEAD,Opossum,31779,25856,24973
MACO,Opossum,27043,24340,22030
NSPSO,Opossum,25606,21534,20088
